npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	50	8	0.4029736421314862	2	0.20987654320987653	0.7727272727272727	2	0.3333333333333333	0.6923076923076923	2	0.5432098765432098	0.7213114754098361
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	40	13	0.40171218163684264	23	0.15966386554621848	0.8636363636363636	23	0.25210084033613445	0.7692307692307693	23	0.4117647058823529	0.8032786885245902
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	3	0.39932044080490264	18	0.2185430463576159	0.75	18	0.3443708609271523	0.6666666666666666	18	0.5629139072847682	0.6967213114754098
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	3	0.3960887066150954	13	0.125	0.6363636363636364	13	0.29464285714285715	0.8461538461538461	13	0.41964285714285715	0.7704918032786885
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	17	0.39521038332817515	21	0.10921501706484642	0.7272727272727273	6	0.23949579831932774	0.7307692307692307	6	0.23949579831932774	0.4672131147540984
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	7	0.39414391494508305	19	1.0	0.022727272727272728	18	0.1675	0.8589743589743589	18	0.2475	0.8114754098360656
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	18	15	0.3935022184111485	23	0.12658227848101267	0.6818181818181818	23	0.2742616033755274	0.8333333333333334	23	0.4008438818565401	0.7786885245901639
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	16	0.3925669653420181	12	0.10738255033557047	0.7272727272727273	0	0.23931623931623933	0.717948717948718	0	0.23931623931623933	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	4	0.39228815249114185	25	0.10774410774410774	0.7272727272727273	14	0.23829787234042554	0.717948717948718	14	0.23829787234042554	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	30	14	0.39225129548041304	9	0.10508474576271186	0.7045454545454546	3	0.24152542372881355	0.7307692307692307	3	0.24152542372881355	0.4672131147540984
