Trial,Alpha,K_Graph,LambdaRecon,NegHard,NegAdj,Method,Config,ARI,NMI,ACC
1,0.4,6,0.05,0.8,0.4,mclust,mclust_A,0.2978327192994311,0.3507645279279229,0.5919863181040801
1,0.4,6,0.05,0.8,0.4,mclust,mclust_B,0.519056704082987,0.5255135821121903,0.6794527241632055
1,0.4,6,0.05,0.8,0.4,robust,robust_C,0.43486976424174173,0.554949645827017,0.6078670901539214
1,0.4,6,0.05,0.8,0.4,robust,robust_D,0.5278362488062682,0.6801328683410909,0.6755436110432446
2,0.2,8,0.01,0.85,0.4,mclust,mclust_A,0.11332320460347238,0.23825277989313723,0.4361104324456389
2,0.2,8,0.01,0.85,0.4,mclust,mclust_B,0.13965303170350643,0.2547907175367899,0.4654287808453457
2,0.2,8,0.01,0.85,0.4,robust,robust_C,0.43155902189496853,0.5797025847056386,0.5905204006840948
2,0.2,8,0.01,0.85,0.4,robust,robust_D,0.5336313556421263,0.6729754610260453,0.6831175177131689
3,0.3,4,0.0,0.7,0.3,mclust,mclust_A,0.47604195247610176,0.4822195853813477,0.6662594673833374
3,0.3,4,0.0,0.7,0.3,mclust,mclust_B,0.4728331252089576,0.5325487196038635,0.6420718299535793
3,0.3,4,0.0,0.7,0.3,robust,robust_C,0.7115957892372838,0.7095787658448139,0.8323967749816761
3,0.3,4,0.0,0.7,0.3,robust,robust_D,0.5409434629696911,0.6800381898656858,0.6899584656731004
4,0.35,8,0.0,0.85,0.4,mclust,mclust_A,0.3431031166670282,0.41520659851324265,0.6049352553139506
4,0.35,8,0.0,0.85,0.4,mclust,mclust_B,0.5754672044450885,0.5933166217330805,0.6928903005130711
4,0.35,8,0.0,0.85,0.4,robust,robust_C,0.4848968122493714,0.6212211625844,0.6044466161739556
4,0.35,8,0.0,0.85,0.4,robust,robust_D,0.572350317338122,0.706798566892852,0.6931346200830687
5,0.35,8,0.0,0.8,0.4,mclust,mclust_A,0.13868088429463232,0.2631336071282969,0.47544588321524556
5,0.35,8,0.0,0.8,0.4,mclust,mclust_B,0.5603163025170966,0.5900863318776676,0.6926459809430735
5,0.35,8,0.0,0.8,0.4,robust,robust_C,0.40618211559897527,0.599274960041652,0.5575372587344246
5,0.35,8,0.0,0.8,0.4,robust,robust_D,0.5463945616710781,0.683715770458303,0.6848277547031517
6,0.2,6,0.05,0.7,0.5,mclust,mclust_A,0.24261896504295463,0.31126584235703264,0.5790373808942096
6,0.2,6,0.05,0.7,0.5,mclust,mclust_B,0.5157750832994317,0.5625609871599186,0.670901539213291
6,0.2,6,0.05,0.7,0.5,robust,robust_C,0.42511179683463685,0.5722851609121351,0.5949181529440508
6,0.2,6,0.05,0.7,0.5,robust,robust_D,0.5181761589544851,0.6671634745462426,0.6726117762032738
7,0.4,4,0.01,0.7,0.4,mclust,mclust_A,0.31047476322848017,0.33405391047653993,0.5949181529440508
7,0.4,4,0.01,0.7,0.4,mclust,mclust_B,0.5255438280926836,0.55479086847558,0.6794527241632055
7,0.4,4,0.01,0.7,0.4,robust,robust_C,0.48823326026853986,0.576357017992418,0.6638162716833619
7,0.4,4,0.01,0.7,0.4,robust,robust_D,0.49427669046194206,0.6487685454363473,0.6826288785731737
8,0.3,4,0.0,0.8,0.5,mclust,mclust_A,0.11372822145564579,0.23862088826255112,0.42853652577571466
8,0.3,4,0.0,0.8,0.5,mclust,mclust_B,0.14890099413790667,0.3623343726379045,0.5174688492548253
8,0.3,4,0.0,0.8,0.5,robust,robust_C,0.4176369863943853,0.5711778944405317,0.5890544832641095
8,0.3,4,0.0,0.8,0.5,robust,robust_D,0.5071562454659571,0.6623250016620456,0.6831175177131689
9,0.35,8,0.0,0.85,0.4,mclust,mclust_A,0.4091138338830519,0.5152518769495456,0.6381627168336184
9,0.35,8,0.0,0.85,0.4,mclust,mclust_B,0.5718690866915478,0.602376380729026,0.6914243830930857
9,0.35,8,0.0,0.85,0.4,robust,robust_C,0.47292933591007896,0.6230092132996263,0.591497678964085
9,0.35,8,0.0,0.85,0.4,robust,robust_D,0.5701107603936999,0.696525361469265,0.7036403615929636
10,0.3,8,0.01,0.8,0.3,mclust,mclust_A,0.48272770916411406,0.5323454949167414,0.6657708282433423
10,0.3,8,0.01,0.8,0.3,mclust,mclust_B,0.5947788040199306,0.6074395603756081,0.7026630833129733
10,0.3,8,0.01,0.8,0.3,robust,robust_C,0.46772671684641454,0.6004541760290396,0.6098216467139018
10,0.3,8,0.01,0.8,0.3,robust,robust_D,0.5444450331653483,0.685473653662249,0.6831175177131689
11,0.4,8,0.05,0.8,0.3,mclust,mclust_A,0.13304478388866842,0.2888772397211215,0.479599315905204
11,0.4,8,0.05,0.8,0.3,mclust,mclust_B,0.597958074577881,0.6058530456102288,0.7041290007329587
11,0.4,8,0.05,0.8,0.3,robust,robust_C,0.5510345196839113,0.6434323638896098,0.7082824334229172
11,0.4,8,0.05,0.8,0.3,robust,robust_D,0.5124725609757631,0.6708823594372426,0.681895919863181
12,0.3,4,0.0,0.8,0.3,mclust,mclust_A,0.12081434473935274,0.24592634826443685,0.4466161739555338
12,0.3,4,0.0,0.8,0.3,mclust,mclust_B,0.45191110968034975,0.51824620788429,0.6469582213535304
12,0.3,4,0.0,0.8,0.3,robust,robust_C,0.4329821804595099,0.5827250975605522,0.5978499877840215
12,0.3,4,0.0,0.8,0.3,robust,robust_D,0.5403511452698088,0.6708016482400907,0.6931346200830687
13,0.35,8,0.05,0.7,0.5,mclust,mclust_A,0.36658905605771624,0.42751965998285424,0.6169069142438309
13,0.35,8,0.05,0.7,0.5,mclust,mclust_B,0.5796454837679514,0.5951076508576658,0.6943562179330565
13,0.35,8,0.05,0.7,0.5,robust,robust_C,0.42460866698428434,0.575847010498743,0.6010261421939898
13,0.35,8,0.05,0.7,0.5,robust,robust_D,0.5103318399150587,0.6633821591678275,0.6728560957732714
14,0.4,6,0.01,0.8,0.3,mclust,mclust_A,0.13541869998351133,0.2742882652808311,0.4813095528951869
14,0.4,6,0.01,0.8,0.3,mclust,mclust_B,0.16541067748039975,0.3621006161796618,0.5245541167847545
14,0.4,6,0.01,0.8,0.3,robust,robust_C,0.4484063200219511,0.5686773472421657,0.619105790373809
14,0.4,6,0.01,0.8,0.3,robust,robust_D,0.5324402638870702,0.6785848096004923,0.6826288785731737
15,0.35,6,0.05,0.8,0.5,mclust,mclust_A,0.35064914431176175,0.40760244135578555,0.6024920596139751
15,0.35,6,0.05,0.8,0.5,mclust,mclust_B,0.4645411510609575,0.5312803203847963,0.6467139017835328
15,0.35,6,0.05,0.8,0.5,robust,robust_C,0.38376226603205965,0.5384441213317549,0.5682873198143171
15,0.35,6,0.05,0.8,0.5,robust,robust_D,0.5238197541263435,0.6718516430450557,0.6726117762032738
16,0.3,6,0.0,0.8,0.3,mclust,mclust_A,0.12795133594857097,0.26323748871572367,0.4610310285853897
16,0.3,6,0.0,0.8,0.3,mclust,mclust_B,0.12890418774342174,0.37429844622884145,0.5013437576349865
16,0.3,6,0.0,0.8,0.3,robust,robust_C,0.4689561367238608,0.6179368369992907,0.5983386269240166
16,0.3,6,0.0,0.8,0.3,robust,robust_D,0.5418343639740227,0.6699947173027591,0.6897141461031029
17,0.2,4,0.01,0.7,0.4,mclust,mclust_A,0.1739431382986195,0.2750385083659501,0.5169802101148302
17,0.2,4,0.01,0.7,0.4,mclust,mclust_B,0.5503760086399229,0.5659372364396572,0.6904471048130956
17,0.2,4,0.01,0.7,0.4,robust,robust_C,0.457446743597954,0.5806402650076877,0.5954067920840459
17,0.2,4,0.01,0.7,0.4,robust,robust_D,0.5318115070786333,0.6657613241529167,0.6850720742731493
18,0.3,4,0.01,0.85,0.3,mclust,mclust_A,0.11729247708856685,0.25046563619688644,0.4439286586855607
18,0.3,4,0.01,0.85,0.3,mclust,mclust_B,0.5228219039943495,0.5432477038130754,0.6811629611531884
18,0.3,4,0.01,0.85,0.3,robust,robust_C,0.5256098258234824,0.6006109206853815,0.7153677009528463
18,0.3,4,0.01,0.85,0.3,robust,robust_D,0.47426357622177195,0.6404513490213778,0.6650378695333496
19,0.2,8,0.01,0.8,0.5,mclust,mclust_A,0.37219284845841794,0.43464651963253614,0.6213046665037869
19,0.2,8,0.01,0.8,0.5,mclust,mclust_B,0.49113235620543483,0.5621439649401798,0.6611287564133888
19,0.2,8,0.01,0.8,0.5,robust,robust_C,0.5644145179429497,0.6398124797054454,0.7334473491326655
19,0.2,8,0.01,0.8,0.5,robust,robust_D,0.5188863245030236,0.674789031182451,0.6748106523332519
20,0.2,8,0.05,0.7,0.4,mclust,mclust_A,0.4728836674619633,0.520367428542404,0.6667481065233325
20,0.2,8,0.05,0.7,0.4,mclust,mclust_B,0.6134313353241685,0.6158556218454382,0.7080381138529196
20,0.2,8,0.05,0.7,0.4,robust,robust_C,0.4823867165984907,0.5991066141471865,0.6169069142438309
