Configuration,ARI,NMI,ACC,n_clusters
trial_10_mclust_A,0.2862772011492269,0.3822531247305754,0.5780601026142194,5
trial_10_mclust_B,0.48317130661838575,0.5620103990344013,0.6503786953334962,5
trial_10_robust_C,0.5200358819593812,0.6004229405331372,0.7011971658929881,5
trial_10_robust_D,0.5216146841240829,0.6714036349107552,0.679697043733203,5
trial_11_mclust_A,0.12071073363846344,0.25502802359216925,0.44295138040557047,5
trial_11_mclust_B,0.16092532857237926,0.28293627389014403,0.5030539946249695,5
trial_11_robust_C,0.4720879976477193,0.562536559913286,0.6276569753237234,5
trial_11_robust_D,0.5307636613434268,0.6657355391349881,0.6875152699731248,5
trial_12_mclust_A,0.12974701550653495,0.22755819551549053,0.4725140483752749,4
trial_12_mclust_B,0.4250243000658176,0.498577834831672,0.6349865624236501,5
trial_12_robust_C,0.2694290762211525,0.5075553529119966,0.4722697288052773,5
trial_12_robust_D,0.5260143821471316,0.6760408574444177,0.6735890544832641,5
trial_13_mclust_A,0.4094667597717157,0.5047621718482733,0.6303444905936966,5
trial_13_mclust_B,0.5968487260389689,0.6101335268082597,0.7016858050329832,4
trial_13_robust_C,0.4338424097920861,0.6031041337526053,0.5919863181040801,5
trial_13_robust_D,0.5499164642645897,0.6830795431150256,0.6880039091131199,5
trial_14_mclust_A,0.21980034644176913,0.2771230875796523,0.5438553628145615,5
trial_14_mclust_B,0.45007615131767215,0.5210522006049895,0.6547764475934522,5
trial_14_robust_C,0.4782555789784363,0.5873592212277915,0.6088443684339115,5
trial_14_robust_D,0.47704576605316734,0.6364013008663989,0.6687026630833129,5
trial_15_mclust_A,0.12774314350384813,0.26520790972779845,0.4637185438553628,5
trial_15_mclust_B,0.14321099436700785,0.2523361113944165,0.48424138773515757,5
trial_15_robust_C,0.4660114955962392,0.5992248108561096,0.6078670901539214,5
trial_15_robust_D,0.5183925145554392,0.6661067472446454,0.6862936721231371,5
trial_16_mclust_A,0.3921280088633797,0.401301509226888,0.6298558514537015,5
trial_16_mclust_B,0.4739504251417263,0.5526419939397161,0.6430491082335695,5
trial_16_robust_C,0.5259881179719265,0.6151026233595056,0.6909357439530907,5
trial_16_robust_D,0.527911388222952,0.6729803025833742,0.6721231370632788,5
trial_17_mclust_A,0.14973986609514425,0.2645794721988162,0.49474712924505254,4
trial_17_mclust_B,0.5977145440785328,0.6149111229710453,0.7041290007329587,4
trial_17_robust_C,0.45592667292230105,0.610988732552483,0.5807476178841925,5
trial_17_robust_D,0.5458657307391996,0.676838200262454,0.6980210114830198,5
trial_18_mclust_A,0.14803301637605912,0.2526126790735971,0.4903493769850965,4
trial_18_mclust_B,0.4105962475379838,0.4991895193369952,0.6320547275836794,5
trial_18_robust_C,0.6458020107774683,0.6114903930750931,0.7212313706327876,5
trial_18_robust_D,0.5303449332260965,0.670228293691437,0.684094795993159,5
trial_19_mclust_A,0.1300974597850216,0.2691673795887403,0.47373564622526265,5
trial_19_mclust_B,0.12498062502205119,0.2556060992871437,0.45736623503542634,4
trial_19_robust_C,0.5326932146572187,0.6177777617426978,0.7134131443928659,5
trial_19_robust_D,0.5179046236890152,0.6671169801197695,0.6779868067432201,5
trial_1_mclust_A,0.1254200548071192,0.26148836165294187,0.45834351331541656,4
trial_1_mclust_B,0.14792806016328383,0.2653516207899482,0.4893720987051063,4
trial_1_robust_C,0.46099937310546624,0.6030948806097144,0.5900317615440996,5
trial_1_robust_D,0.5225227079664485,0.6682400494134689,0.6669924260933301,5
trial_20_mclust_A,0.15123620902391013,0.27603310816249954,0.49816760322501835,5
trial_20_mclust_B,0.5224206731880493,0.5728557369552584,0.6799413633032005,5
trial_20_robust_C,0.5169801230351023,0.6075196786727312,0.6716344979232837,5
trial_20_robust_D,0.5322501956844059,0.6872000929938009,0.6750549719032495,5
trial_21_mclust_A,0.16430148139736442,0.27862322189042166,0.5157586122648424,5
trial_21_mclust_B,0.5704740805528632,0.5949000839319106,0.6977766919130223,4
trial_21_robust_C,0.7951023995806984,0.7337097251323239,0.8712435866112875,5
trial_21_robust_D,0.531976244179143,0.6778583665609861,0.6811629611531884,5
trial_22_mclust_A,0.4357042530647749,0.5190035608372061,0.6486684583435133,5
trial_22_mclust_B,0.5807167774241973,0.598047888456049,0.6997312484730027,5
