names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
SCGB1D2,13.000668,1.5248206,1.2127946177576933e-38,2.219474790227467e-34,0.9895833333333334
HEBP1,12.371593,1.2396739,3.7236152973741815e-35,4.078638291340212e-31,0.9930555555555556
SCGB2A2,12.357139,1.4790188,4.457406400196948e-35,4.078638291340212e-31,0.9895833333333334
FAM234B,12.193114,0.9776131,3.382428586366367e-34,2.4760053737919084e-30,1.0
IGFBP5,10.850753,0.45513174,1.9778866166329744e-27,8.043625339487054e-24,1.0
KCNE4,10.2958355,1.7812805,7.357828989573577e-25,1.6831493677961406e-21,0.78125
SDC1,9.252929,0.8104278,2.184243780259946e-20,3.0748271769728574e-17,0.9444444444444444
CD24,9.2306185,0.49477223,2.6907305384475572e-20,3.647534386582187e-17,1.0
GATA3,9.196997,0.46005076,3.6809320869614934e-20,4.811635546959915e-17,1.0
CSTA,9.094874,0.6717427,9.469590701659942e-20,1.0831140289732986e-16,1.0
COLEC12,8.966671,1.2490491,3.0561043637767597e-19,3.2898963476056816e-16,0.8368055555555556
COX6C,8.9088545,0.49190068,5.156264408517665e-19,5.242345378226529e-16,1.0
ATP6AP1,8.850409,0.52451664,8.71993366688585e-19,8.625899787613217e-16,0.9965277777777778
HACD3,8.841611,0.67613167,9.43486322462399e-19,9.08751128643323e-16,0.9930555555555556
SERF2,8.698954,0.22417647,3.3495962791196415e-18,2.9902091076111705e-15,1.0
VSTM2A,8.536814,1.8594072,1.3797331536262001e-17,1.2023717418064893e-14,0.6840277777777778
TRPS1,8.495965,0.507063,1.9629505531218614e-17,1.6328625726093922e-14,1.0
CCND1,8.458887,0.44826755,2.6994209111907834e-17,2.1478587993585623e-14,1.0
SRP14,8.421808,0.44334298,3.707170008024621e-17,2.798976685185035e-14,1.0
MRPS30-DT,8.314658,1.5905457,9.201699907379582e-17,6.60375330019608e-14,0.71875
SCD,8.217249,0.580251,2.0822420810957862e-16,1.4379649511356013e-13,0.9965277777777778
CD9,8.198082,0.4447237,2.4425369224695694e-16,1.655542479616828e-13,1.0
SLC39A6,8.176085,0.4377492,2.932129819659515e-16,1.9512524278065075e-13,1.0
CGA,8.007348,0.9999291,1.1720839501042592e-15,7.044073236942969e-13,0.9270833333333334
AMFR,7.8304405,0.64045584,4.861637325033562e-15,2.6960725414174754e-12,0.9861111111111112
CTTN,7.7908483,0.4373736,6.656076641846387e-15,3.636105390570442e-12,1.0
TMBIM6,7.6302805,0.30490106,2.342437981591022e-14,1.174459898139904e-11,1.0
ALDOC,7.5727773,1.3260436,3.653277487025207e-14,1.7142770423411488e-11,0.7013888888888888
CLDN3,7.560837,0.43724364,4.004838178831567e-14,1.8554567364989135e-11,0.9930555555555556
PBX1,7.4260354,0.3120627,1.1190115583123119e-13,4.994749029974259e-11,1.0
DDR1,7.358477,0.40586773,1.8601986099197785e-13,8.105372538294501e-11,0.9965277777777778
CYB5R1,7.353764,0.55449253,1.9270189044672613e-13,8.297743402636027e-11,0.9722222222222222
LINC00052,7.3110294,1.67889,2.65103078519952e-13,1.1026179291941777e-10,0.65625
CRABP2,7.291862,0.3414332,3.057001868103037e-13,1.2432147263826583e-10,1.0
DSP,7.197595,0.4440249,6.128381844226402e-13,2.386222381707772e-10,1.0
ADORA2A,7.105842,0.70279294,1.1959124019468908e-12,4.5125350333668193e-10,0.9375
JUP,7.0178595,0.4540196,2.2529301665863262e-12,8.164306636359022e-10,1.0
REPS2,6.9952354,1.0194845,2.648139699469644e-12,9.502407954930238e-10,0.7743055555555556
LAMP1,6.9603567,0.39987206,3.394124782727944e-12,1.2061005939089854e-09,0.9965277777777778
AQP3,6.923907,0.55955124,4.3935526540644565e-12,1.4922749384567653e-09,0.9791666666666666
MGP,6.9235926,0.71565646,4.4033139355026e-12,1.4922749384567653e-09,1.0
IFI6,6.8912277,0.36054426,5.531298957511838e-12,1.83195979564767e-09,1.0
SLC39A11,6.7557974,0.9123292,1.420518553146887e-11,4.6010973065247086e-09,0.7708333333333334
CITED4,6.7344303,0.6050618,1.64573612641628e-11,5.283823505523005e-09,0.9444444444444444
SFXN1,6.668129,0.83885974,2.5908485214508346e-11,8.174797132208794e-09,0.8368055555555556
CST9,6.5971146,1.3706138,4.1923652254391414e-11,1.2787063301358167e-08,0.6076388888888888
MUC1,6.5785756,0.26249987,4.7497667683075586e-11,1.4367455660068179e-08,1.0
GRB2,6.4758244,0.4828049,9.42955761868192e-11,2.783316438720782e-08,0.9930555555555556
CLDN4,6.2788067,0.57049376,3.411816031158955e-10,9.91078401241658e-08,0.9375
ARPP19,6.2266455,0.588193,4.765273983863858e-10,1.341644562180008e-07,0.9166666666666666
SPINT1,6.1185527,0.4296017,9.442897482417372e-10,2.50448906343448e-07,0.96875
GPRC5A,6.086188,0.37583742,1.1563076517927719e-09,3.023001168804803e-07,0.9930555555555556
SELENOW,6.0701623,0.3158658,1.277809093008727e-09,3.316956781078895e-07,0.9965277777777778
GLO1,6.050052,0.48168266,1.4479891635788917e-09,3.706143452877693e-07,0.9895833333333334
PRLR,5.9784093,0.5306337,2.25326987015592e-09,5.727217397053946e-07,0.9722222222222222
PPP1R1B,5.963955,1.4362376,2.462044900777124e-09,6.214710718161622e-07,0.5486111111111112
ACLY,5.938817,0.4828339,2.8708574813721835e-09,7.148044535762128e-07,0.9548611111111112
H3F3A,5.9193354,0.2513548,3.2324522599258136e-09,7.993985484158426e-07,1.0
ERBB2,5.906138,0.34397888,3.50220643261997e-09,8.545617176021569e-07,0.9791666666666666
BSG,5.871259,0.40306377,4.324973737546706e-09,1.0414366037364935e-06,0.9756944444444444
ALCAM,5.862461,0.5321287,4.5605680016077826e-09,1.0909892119401728e-06,0.9548611111111112
BHLHE40,5.8530345,0.39366361,4.82684566252089e-09,1.1397895360898522e-06,0.96875
SNAP25,5.8250685,1.784657,5.70892033868527e-09,1.339437136642433e-06,0.4965277777777778
ATP6V0E1,5.7543683,0.36030832,8.696641166383102e-09,2.0145934388024547e-06,0.9826388888888888
VIRMA,5.748712,0.50214475,8.992573150653964e-09,2.0700450936294705e-06,0.9444444444444444
HSP90AB1,5.7003217,0.23260005,1.1958144569039985e-08,2.6851536771253525e-06,1.0
MGST3,5.669214,0.34470356,1.4345430199859088e-08,3.162994522560497e-06,0.9826388888888888
GPX4,5.6535025,0.32146963,1.5721073412134914e-08,3.4455509458535927e-06,1.0
SKP1,5.583745,0.28689688,2.353936907385239e-08,5.068026161600419e-06,1.0
ATP2A3,5.555779,0.40917516,2.7637605075730988e-08,5.9155788501569e-06,0.9826388888888888
KRT19,5.5450954,0.13956372,2.937935763600969e-08,6.251824818811574e-06,1.0
LCMT1,5.5353546,0.57015723,3.1059913256957804e-08,6.571236330161345e-06,0.8680555555555556
BCAM,5.5325265,0.49141574,3.156503889470547e-08,6.639724072328247e-06,0.9027777777777778
CALML5,5.5224714,0.3534119,3.3426393304069476e-08,6.949280051395554e-06,1.0
TOB1,5.5127306,0.34899685,3.533087513984109e-08,7.237189333716386e-06,0.9930555555555556
CD59,5.5124164,0.3404349,3.539402996462482e-08,7.237189333716386e-06,0.9861111111111112
ESR1,5.50896,0.42452756,3.609599971343594e-08,7.299169533212534e-06,0.9826388888888888
S100A11,5.4219203,0.18346843,5.896222126879717e-08,1.1602560541178737e-05,1.0
TMEM98,5.3930116,0.8940812,6.928646955595327e-08,1.3489117405411947e-05,0.6701388888888888
UGCG,5.3700733,0.3377895,7.870463115611925e-08,1.5241630713995347e-05,0.9895833333333334
ABCC5,5.3675594,0.41466394,7.980916253785781e-08,1.5374185042358598e-05,0.9618055555555556
LAPTM4A,5.332052,0.3418716,9.71089415143911e-08,1.841598118325507e-05,0.9756944444444444
SELENBP1,5.300316,0.39820692,1.1560254761532457e-07,2.1810148686951002e-05,0.9722222222222222
FBP1,5.2943454,0.3797626,1.1944338452675977e-07,2.241921701058428e-05,0.9895833333333334
PTPN1,5.2871184,0.4875653,1.24258200022517e-07,2.3203950913388495e-05,0.9305555555555556
TFF3,5.281462,0.3151751,1.2815677973006793e-07,2.3810488806600086e-05,1.0
PVALB,5.251297,0.4427989,1.5103193238513936e-07,2.7502088344420326e-05,0.9826388888888888
GABARAPL2,5.1249795,0.3886672,2.9757045384078887e-07,5.0894281219750995e-05,0.9652777777777778
TPD52,5.1224656,0.31014735,3.0156627802899856e-07,5.110012658397859e-05,0.9895833333333334
SLC27A2,5.117438,1.3958455,3.097139296861488e-07,5.223889189144116e-05,0.5034722222222222
ANO1,5.1142955,0.44920945,3.1491370839431523e-07,5.287227816945107e-05,0.9305555555555556
SELENOM,5.0998416,0.41333005,3.399381324317592e-07,5.655488902334008e-05,0.9583333333333334
TMEM181,5.0916715,0.8895939,3.5492037836599097e-07,5.878027497092143e-05,0.6597222222222222
SDHC,5.0633917,0.36751595,4.118627092047649e-07,6.670171247612212e-05,0.9895833333333334
IGLC1,5.0530224,0.7472638,4.3487334623441784e-07,6.981052344528915e-05,0.8645833333333334
ADIPOR1,5.043281,0.39111853,4.5761579824345193e-07,7.282259057177646e-05,0.9861111111111112
ACKR3,5.030398,0.87787455,4.894624031188107e-07,7.755330483355667e-05,0.6388888888888888
QPRT,5.006517,0.5753457,5.542372034680343e-07,8.669075164159625e-05,0.84375
GNS,4.9911203,0.35664633,6.003011373661967e-07,9.310009291839052e-05,0.96875
DAG1,4.9606404,0.39160627,7.026108683451083e-07,0.00010759941586736112,0.9479166666666666
HPX,4.9480715,1.2161082,7.495231440615258e-07,0.000113831106206622,0.5034722222222222
PPT1,4.9270186,0.35280117,8.349375994454138e-07,0.0001247328615400065,0.9791666666666666
RAB5B,4.893711,0.43686572,9.895208421181552e-07,0.00014545161583279757,0.9548611111111112
KAT6B,4.86983,0.5808045,1.1169424141696433e-06,0.000162227021035806,0.8333333333333334
LGALS3BP,4.864174,0.22782513,1.1493571964472068e-06,0.0001661475327236245,1.0
BCL2,4.8450065,0.48154992,1.266075474928661e-06,0.00018172403316809384,0.8854166666666666
LINC00645,4.8377795,0.7433196,1.3129778190736947e-06,0.00018771992639029806,0.7743055555555556
CST1,4.8195543,0.75060713,1.4387921434705354e-06,0.00020332521715507747,0.7118055555555556
DEGS1,4.7919025,0.45682365,1.6520696696842237e-06,0.00022991407597000864,0.8854166666666666
ALB,4.7758775,0.98771095,1.7892539225798107e-06,0.0002461973038358784,0.6770833333333334
PDIA3,4.7633085,0.31644207,1.9044437613502826e-06,0.0002609031850847678,0.9965277777777778
COL2A1,4.7504253,0.8138733,2.029892547884863e-06,0.0002741553400189442,0.6388888888888888
GNAS,4.7391133,0.20813127,2.1465548036449783e-06,0.0002877877376124903,1.0
SUMF1,4.725916,0.4461572,2.290804378351251e-06,0.00030269216986293917,0.9166666666666666
MAN2A1,4.704549,0.63649875,2.5442808295979567e-06,0.00033258293801469575,0.7708333333333334
RAB11A,4.6885233,0.35002396,2.7518350878715837e-06,0.00035590076343175914,0.9479166666666666
CIRBP,4.6577296,0.36839342,3.1971593147557097e-06,0.00040915814013767036,0.9791666666666666
FCGR3B,4.634163,1.1425855,3.583849567647511e-06,0.0004554599931439811,0.5486111111111112
MMP11,4.631649,0.4729055,3.6276483417960235e-06,0.0004594309929345199,0.8958333333333334
SDF2,4.6153092,0.54344195,3.925101819107265e-06,0.0004919953824696746,0.8263888888888888
PDCD4,4.6153092,0.33369914,3.925101819107265e-06,0.0004919953824696746,0.9861111111111112
SLC7A8,4.613738,0.6192688,3.9549043187845675e-06,0.0004923586835776665,0.8020833333333334
CASC4,4.613738,0.5585978,3.9549043187845675e-06,0.0004923586835776665,0.8125
PDE5A,4.5832586,0.59233713,4.577852920812524e-06,0.000564154864493802,0.8506944444444444
ING1,4.57666,0.49432766,4.724585613093297e-06,0.000580283751761167,0.8784722222222222
ABHD2,4.5675473,0.31180105,4.93463987774316e-06,0.0006040560339975833,0.9722222222222222
MRPS30,4.5634627,0.5440036,5.031678829676533e-06,0.0006138815894833026,0.84375
COX4I1,4.545866,0.1800808,5.470982200828293e-06,0.0006630576805712462,1.0
WWP1,4.5427237,0.28695852,5.553198387064709e-06,0.0006708007068150344,0.9826388888888888
PTPRF,4.539896,0.3450799,5.628203099495257e-06,0.0006776245448836378,0.9548611111111112
EMC4,4.523242,0.46012932,6.089954457455505e-06,0.0007284262192723168,0.8888888888888888
ARF3,4.484278,0.2664901,7.316111877705686e-06,0.0008582596501150826,0.9826388888888888
PSMB3,4.4695096,0.2232358,7.839905431650983e-06,0.0009080644895691696,0.9930555555555556
TBC1D9,4.462911,0.29888415,8.085358559597156e-06,0.0009306044296849544,0.9930555555555556
NORAD,4.4581976,0.3006041,8.26516156706751e-06,0.0009483171740320938,1.0
SOX4,4.448771,0.41396108,8.636299020497274e-06,0.0009878036889038148,0.9027777777777778
SQLE,4.41075,0.50474024,1.0301314444703686e-05,0.001158053144512205,0.8159722222222222
IGHA1,4.3953533,0.5141168,1.1059279511112628e-05,0.0012321175059010754,0.9722222222222222
HSP90AA1,4.3764997,0.15880027,1.2060030864792992e-05,0.0013295457520550852,1.0
PTBP1,4.3535614,0.35131806,1.3394349704157848e-05,0.0014722119925582023,0.9340277777777778
SLC7A2,4.3221393,0.6259432,1.5452365324179647e-05,0.0016585689830800564,0.7326388888888888
AUTS2,4.3199396,0.9011203,1.5607189513908186e-05,0.0016702887233875836,0.5833333333333334
