Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Sphingolipid Metabolic Process (GO:0006665),1.7519844200713742e-08,2.903038184058267e-05,0,0,15.989858906525573,285.57778706984647,CERS4;UGCG;PPT1;DEGS1;DEGS2;HACD3;PLPP2;SUMF1;CERS2
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),7.058409732822929e-08,5.8478924636437964e-05,0,0,6.274366216828818,103.31660640915419,TFAP2A;GPX4;GLO1;IFI6;DHCR24;ASCL1;PRLR;MIEN1;TCIM;ERBB2;ALB;PPT1;BCL2;TMBIM6;SOX9
GO_Biological_Process_2023,Response To Estrogen (GO:0043627),1.1482711732336888e-07,6.342284446827408e-05,0,0,31.63850174216028,505.57813769672447,WBP2;CITED4;GATA3;SOX9;CD24;ESR1
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),1.6755235912223905e-07,6.940856476638753e-05,0,0,3.775274901249066,58.90172553491908,TFAP2A;HEXIM1;JUND;IRX3;PCGF2;WWP1;GATA3;CXXC5;ASCL1;ZNF24;ESR1;ING1;MUC1;ZMYM2;CCND1;KAT6B;TBL1XR1;TRPS1;BAHD1;BHLHE40;PDCD4;SOX9;FBP1;SOX4
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),2.3200233869706597e-07,7.688557504420765e-05,0,0,5.312856191251573,81.16194528113496,TFAP2A;GLO1;IFI6;SIX1;DHCR24;ASCL1;PRLR;CLU;MIEN1;TCIM;ERBB2;ALB;PPT1;BCL2;TMBIM6;SOX9
GO_Biological_Process_2023,acyl-CoA Biosynthetic Process (GO:0071616),1.4940033967410467e-06,0.00041259393806665246,0,0,65.12544802867383,873.5960941276875,SLC25A1;ACLY;PPT1;SLC27A2
GO_Biological_Process_2023,Membrane Lipid Biosynthetic Process (GO:0046467),2.71420111653074e-06,0.0006424901785844908,0,0,17.359158297465328,222.49255576115203,CERS4;DEGS1;DEGS2;HACD3;PLPP2;CERS2
GO_Biological_Process_2023,Fatty Acid Biosynthetic Process (GO:0006633),5.386676422293851e-06,0.0011157153539676139,0,0,15.261143818334736,185.1418173784186,ACLY;GPX4;SCD;ABHD2;DEGS1;HACD3
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),8.194727086716582e-06,0.0015087403091877086,0,0,3.788896178960852,44.37562649501443,TFAP2A;GLO1;IFI6;DHCR24;ASCL1;PRLR;CLU;MIEN1;TCIM;ERBB2;ALB;PPT1;BCL2;TMBIM6;SOX9;LCMT1;SOX4
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),1.1314979868152987e-05,0.0018748921641529499,0,0,7.01144076013186,79.85598460630318,EIF4A2;CYFIP1;IGFBP5;CAPRIN1;ERBB2;CIRBP;BZW1;TOB1;SOX4
GO_Biological_Process_2023,Sphingolipid Biosynthetic Process (GO:0030148),1.4661551938912796e-05,0.0022085628693435003,0,0,12.640766550522649,140.6952964663448,CERS4;DEGS1;DEGS2;HACD3;PLPP2;CERS2
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),1.6451735450509763e-05,0.0022717104701245566,0,0,4.480336647345592,49.35126475067666,EIF4A2;TFAP2A;HEXIM1;WWP1;GATA3;ASCL1;ZNF24;ZMYM2;KAT6B;BAHD1;BHLHE40;PDCD4;SOX9
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),2.1591574616304205e-05,0.002685207103145435,0,0,3.5003526827012026,37.60501478540078,TFAP2A;HEXIM1;JUND;IRX3;PCGF2;GATA3;CXXC5;ASCL1;ESR1;ING1;CCND1;TBL1XR1;TRPS1;BHLHE40;SOX9;FBP1;SOX4
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),2.425698960170113e-05,0.002685207103145435,0,0,5.605387435530976,59.56736343711921,NCKAP1;MARCKSL1;ADORA2A;ATP6AP2;APLP1;PPT1;WWP1;SOX9;PBX1;SOX4
GO_Biological_Process_2023,Organonitrogen Compound Biosynthetic Process (GO:1901566),2.430784945514878e-05,0.002685207103145435,0,0,8.924384236453202,94.81900547975019,CERS4;MUC1;DEGS1;DEGS2;HACD3;PLPP2;CERS2
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),2.75589513017199e-05,0.002854073894184367,0,0,7.2341063574570175,75.95220767482944,UGCG;IRX5;IRX3;ERBB2;PPT1;ASCL1;SOX4;PBX1
GO_Biological_Process_2023,Ceramide Metabolic Process (GO:0006672),3.5703244610015023e-05,0.0034800162540467583,0,0,14.996281913575146,153.56596061299808,CERS4;DEGS1;DEGS2;PLPP2;CERS2
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),3.944486657658665e-05,0.0036311191065224488,0,0,24.411962365591396,247.5521077561467,ACLY;SQLE;MSMO1;DHCR24
GO_Biological_Process_2023,Embryonic Skeletal System Morphogenesis (GO:0048704),4.550928993306157e-05,0.003851122924826463,0,0,23.434838709677418,234.29200471435902,TFAP2A;COL2A1;IRX5;SIX1
GO_Biological_Process_2023,Response To Organic Cyclic Compound (GO:0014070),4.6483076944193884e-05,0.003851122924826463,0,0,14.129943942696979,140.96628711709735,IGFBP5;ADORA2A;AQP3;CLU;ESR1
GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),6.0103800461746105e-05,0.004742476065005395,0,0,6.444226657163222,62.634258119201114,UGCG;PTPN1;IGFBP5;AMFR;GATA3;CD24;CLU;CD55
GO_Biological_Process_2023,Apoptotic Mitochondrial Changes (GO:0008637),8.649210356926796e-05,0.006285363097781105,0,0,19.526344086021506,182.6778809854707,IFI6;BCL2;CLU;HK2
