names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CXCL14,20.033438,3.0615277,2.8153415435375625e-89,5.152215791750917e-85,1.0,0.9940652818991098
GFRA1,19.93777,2.2831516,1.9140416511758836e-88,2.3351946158229502e-84,1.0,0.9821958456973294
RPSA,19.852676,0.88522387,1.044863672897513e-87,9.560763822930469e-84,1.0,1.0
TTLL12,19.79295,2.89797,3.42401267525888e-87,2.5064457585430056e-83,1.0,0.9198813056379822
RPL7,19.58946,0.8691486,1.9019577472643332e-85,8.701694438452732e-82,1.0,1.0
IFI27,19.522335,1.3042938,7.092175554595171e-85,2.663817006289332e-81,1.0,1.0
AGR2,19.521013,1.5206559,7.27798968959682e-85,2.663817006289332e-81,1.0,1.0
ARMT1,19.507536,2.0642812,9.474018189477677e-85,3.152350361391568e-81,1.0,0.9465875370919882
CCND1,19.458382,1.3529519,2.4747921340632814e-84,7.548322241570846e-81,1.0,1.0
RPL15,19.317259,0.7138976,3.845294348710433e-83,1.0052972746939325e-79,1.0,1.0
RMND1,19.174553,2.7022855,6.038577665710237e-82,1.3813623821416275e-78,0.9911504424778761,0.5637982195845698
EVL,19.105843,1.2065179,2.257578888601654e-81,4.860567347159361e-78,1.0,1.0
RPS14,18.984276,0.60638195,2.3008419004579617e-80,4.678506355481214e-77,1.0,1.0
GNG5,18.470531,1.0944651,3.565617473511827e-76,6.868692902526652e-73,1.0,1.0
RPL34,18.465775,0.7209363,3.894029800698214e-76,7.126269236767766e-73,1.0,1.0
RPS3A,18.374865,0.7079882,2.088303981247974e-75,3.474273364438959e-72,1.0,1.0
RPL14,18.244314,0.72362554,2.296033663287089e-74,3.5015470045821145e-71,1.0,1.0
MAGED2,17.790821,0.96047205,8.324977477275553e-71,1.088223216592009e-67,1.0,1.0
COL2A1,17.776022,2.7479818,1.0840279633226977e-70,1.3681554305370366e-67,0.9823008849557522,0.45103857566765576
DEGS1,17.742723,1.5085727,1.9618824426376106e-70,2.393561976099306e-67,1.0,1.0
UQCRQ,17.487436,0.58768713,1.7861092469314712e-68,1.9810116529375387e-65,1.0,1.0
Z82214.2,17.165817,4.2980337,4.78694841510336e-66,5.00591711260566e-63,0.8938053097345132,0.1394658753709199
THBS1,17.080458,1.612764,2.0748539673149023e-65,2.0524791907484526e-62,0.995575221238938,0.9109792284866469
RPS20,16.957834,0.6369492,1.6843684628024958e-64,1.622357108079846e-61,1.0,1.0
SPAG6,16.838385,3.6882021,1.276758586494626e-63,1.1982215647253797e-60,0.9026548672566371,0.17210682492581603
RPLP1,16.816713,0.46287692,1.8409138276435256e-63,1.684482175139517e-60,1.0,1.0
PRKACB,16.80218,1.5877103,2.3524229086421942e-63,2.100025143395438e-60,0.9911504424778761,0.8635014836795252
GAS5,16.578869,0.8602041,9.907683995131928e-62,8.058469820129414e-59,0.995575221238938,1.0
RPS2,16.572525,0.51124835,1.1010204537110993e-61,8.760532527452163e-59,1.0,1.0
LAMB2,16.558254,1.1205081,1.395834822832939e-61,1.0869989436278383e-58,1.0,0.9881305637982196
HIST2H2AA4,16.429026,1.4428885,1.1854786912914789e-60,8.85504195509376e-58,1.0,0.9406528189910979
RACK1,16.168718,0.50315154,8.382511422942605e-59,6.015849031198476e-56,1.0,1.0
RPL10,16.06565,0.4041765,4.441743085613319e-58,3.126389205317944e-55,1.0,1.0
BRINP3,15.971834,3.6229742,2.0079206381696806e-57,1.3362164232299724e-54,0.8584070796460177,0.142433234421365
TCEAL4,15.952014,0.70692337,2.758547089092433e-57,1.8029568215691452e-54,1.0,1.0
SIRLNT,15.810893,1.746225,2.617318522959303e-56,1.5966079209805573e-53,0.9823008849557522,0.6913946587537092
CCNO,15.714169,2.7354102,1.2095685741331528e-55,7.140551513201214e-53,0.911504424778761,0.26409495548961426
IGHE,15.711526,1.6922837,1.2610633927174158e-55,7.326377974103196e-53,1.0,0.7507418397626113
RPL41,15.629073,0.29401177,4.614660971626345e-55,2.6390813472264978e-52,1.0,1.0
SNHG6,15.52495,0.87506354,2.351878493462686e-54,1.3042591627155722e-51,1.0,0.9910979228486647
AGR3,15.3944,0.98012745,1.784742928837144e-53,9.200475484277226e-51,0.995575221238938,0.9881305637982196
CRAT,15.3584585,1.4949249,3.1088021644350487e-53,1.5803509447289891e-50,0.9867256637168141,0.8100890207715133
PSD3,15.186417,2.0295708,4.350600342136658e-52,2.1518422043587003e-49,0.9469026548672567,0.5044510385756676
TGM2,15.148626,1.688873,7.736732421538876e-52,3.725949254746637e-49,0.9911504424778761,0.744807121661721
GALNT6,15.12537,0.67638576,1.1017978369759395e-51,5.237260081968359e-49,1.0,1.0
RPS28,15.076744,0.4186214,2.3035274968433398e-51,1.0809155116918343e-48,1.0,1.0
PYCARD,15.021775,0.871157,5.28726162712718e-51,2.4189882851810242e-48,1.0,0.9970326409495549
BMERB1,14.968657,1.8252845,1.1767474696307957e-50,5.252455382433751e-48,0.9690265486725663,0.6083086053412463
FBN2,14.967071,1.8323128,1.2051364851857203e-50,5.3143615053352465e-48,0.9601769911504425,0.6053412462908012
PHGR1,14.862419,1.7988671,5.780002391893284e-50,2.488869029949248e-47,0.9513274336283186,0.6083086053412463
SELENOM,14.831499,0.95835775,9.16630574446769e-50,3.8562753626811715e-47,1.0,0.9881305637982196
MUC1,14.744818,0.47319943,3.3221632372712068e-49,1.366230299408578e-46,1.0,1.0
RPS3,14.7379465,0.5132693,3.67799341391885e-49,1.4957581882538204e-46,1.0,1.0
PFKFB3,14.603696,1.5447828,2.660233187900655e-48,1.046959085057547e-45,0.9867256637168141,0.771513353115727
IMPDH2,14.5381565,0.7558024,6.943754293044637e-48,2.7037058604226253e-45,1.0,0.9910979228486647
BMI1,14.532078,0.981394,7.588282037337428e-48,2.9235653773535497e-45,0.9911504424778761,0.9643916913946587
CMTM8,14.493494,1.8704883,1.3319076116558503e-47,5.0256856179603893e-45,0.9469026548672567,0.5074183976261127
RPL8,14.419234,0.33911392,3.9166581810275887e-47,1.4627918988141917e-44,1.0,1.0
TCIM,14.305068,1.5100913,2.0343830190677424e-46,7.446045288089844e-44,0.9823008849557522,0.7566765578635015
RPL6,14.274412,0.45697683,3.1593869370012653e-46,1.1449180324869635e-43,1.0,1.0
RPL35,14.269655,0.40103406,3.382444959640248e-46,1.2065134664247208e-43,1.0,1.0
NKAIN1,14.269391,2.4652696,3.3952866599750345e-46,1.2065134664247208e-43,0.8628318584070797,0.29673590504451036
KCNMA1,14.232657,2.2479837,5.745611522201441e-46,2.0028107364199517e-43,0.9070796460176991,0.2997032640949555
SH3BGRL,14.148619,1.154583,1.9046113028236375e-45,6.454692434689625e-43,0.9911504424778761,0.9080118694362018
GATA3,14.143069,0.5067646,2.0609600934220068e-45,6.920477099021915e-43,1.0,1.0
HSPA1A,14.043439,0.5749416,8.451068495731312e-45,2.8119778001114708e-42,1.0,1.0
MAZ,13.973935,0.6733543,2.248526001005083e-44,7.283035412636022e-42,1.0,0.9970326409495549
HSPB1,13.855276,0.40103108,1.1820089415389437e-43,3.7619747190666857e-41,1.0,1.0
LMCD1,13.802422,2.1625018,2.464318664818072e-43,7.775562711293642e-41,0.9026548672566371,0.40059347181008903
PSMB4,13.721555,0.5047253,7.5430520259538e-43,2.320027287411219e-40,1.0,1.0
RPS26,13.718384,0.36917958,7.8802950561913e-43,2.4035556612638146e-40,1.0,1.0
NEAT1,13.6723995,0.5538992,1.4841819344106315e-42,4.452667457488813e-40,1.0,1.0
IP6K2,13.545814,0.9328203,8.387955865400986e-42,2.4560605810363318e-39,0.9911504424778761,0.9673590504451038
BHLHE40,13.487674,0.7944114,1.848417580446679e-41,5.285463426713195e-39,1.0,0.9881305637982196
KCNK15,13.275991,1.4069326,3.1902142111027463e-40,8.710508181463095e-38,0.9690265486725663,0.712166172106825
C19orf33,13.275463,0.6519529,3.2128045804691613e-40,8.710508181463095e-38,1.0,1.0
HMGN2,13.262777,0.5649211,3.805355828720183e-40,1.0241163874043194e-37,1.0,1.0
CRIP1,13.205166,0.26283067,8.191868794964222e-40,2.172685433075982e-37,1.0,1.0
RPS29,13.176096,0.29700452,1.204648015494731e-39,3.1270441145477056e-37,1.0,1.0
XBP1,13.166318,0.3739638,1.3712333806225869e-39,3.5344023214202325e-37,1.0,1.0
ARPP21,13.097078,3.0932124,3.421758425143365e-39,8.697206952685575e-37,0.7654867256637168,0.22255192878338279
UQCRC1,13.069594,0.7047327,4.912673283882126e-39,1.231566814132669e-36,1.0,0.9970326409495549
C2orf27A,12.997448,1.8756567,1.2649425169004342e-38,3.1180130657092224e-36,0.9026548672566371,0.44510385756676557
SREBF1,12.997184,0.98445237,1.2693203649918694e-38,3.1180130657092224e-36,0.995575221238938,0.9495548961424333
RPL24,12.952257,0.40382147,2.2814487944960214e-38,5.566887155156592e-36,1.0,1.0
TMA7,12.946179,0.45701656,2.469420312977714e-38,5.985645885781279e-36,1.0,1.0
SLC7A2,12.867954,1.44487,6.818395285884908e-38,1.6205200380433347e-35,0.9734513274336283,0.7270029673590505
SNX22,12.762774,1.9378057,2.6460688263958813e-37,6.168711153816283e-35,0.8893805309734514,0.39465875370919884
RPS27,12.745068,0.27176657,3.321016738153715e-37,7.693198331212918e-35,1.0,1.0
PLP2,12.68772,0.9777986,6.9169519214602755e-37,1.5724680576234009e-34,0.9911504424778761,0.9109792284866469
OAZ1,12.61901,0.40191555,1.658938442321744e-36,3.702366215086473e-34,1.0,1.0
RIMS4,12.615839,1.5799373,1.727092632953969e-36,3.8311101490150436e-34,0.9292035398230089,0.5786350148367952
RPL39,12.612403,0.3025899,1.8040692605710443e-36,3.977755361816915e-34,1.0,1.0
RPL11,12.541842,0.37817088,4.406309322608261e-36,9.486783971575586e-34,1.0,1.0
MORF4L2,12.496916,0.44055372,7.760379295795174e-36,1.6610388456456094e-33,1.0,1.0
POLR2L,12.424769,0.42167503,1.9177802858014612e-35,4.034061852909154e-33,1.0,1.0
RPL13,12.399136,0.30645242,2.6415900946879627e-35,5.5248479460385214e-33,1.0,1.0
TSPO,12.332274,0.55574733,6.070870795209544e-35,1.2553669038161838e-32,1.0,1.0
CTNNB1,12.313511,0.6703744,7.661623844163985e-35,1.575410642248573e-32,1.0,0.9940652818991098
LDLRAD4,12.298712,0.6719063,9.203027227267236e-35,1.8817877069564698e-32,0.995575221238938,0.9970326409495549
ZFAS1,12.224715,0.6726699,2.293836412817893e-34,4.562864486171071e-32,0.995575221238938,0.9940652818991098
