Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,Term_clean,neglog10_fdr,HitCount,GeneRatio
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),2.4998112054725124e-15,5.03985167022904e-12,0,0,3.1675106792565915,106.49982161332517,MTCH1;GSK3B;RTKN;ZFAND6;FHL2;IFIT3;IFIT2;ING5;RUVBL1;TNFSF10;DNM1L;SOX4;IER3;PHLDA3;UNC13B;TSC22D1;UTP11;IGFBP3;ACTL6A;SIGMAR1;ACTN4;FBXO11;PRLR;NME1;RHOB;SFRP4;RNF144B;TOX3;TAX1BP1;PPIF;BIRC6;NUPR1;IL6ST;ZNF830;ATF6;PTMA;CARD14;PPIA;NAIP;CD44;MEAF6;GLO1;HPN;TAF9;IFI6;PSEN2;VTCN1;RTN4;HSP90B1;HSPD1;PRDX3;SOCS2;ERBB2;PAK2;TFAP2A;JUN;OPN3;STAT1;API5;WFS1;SIAH2;BNIP3;SIAH1;DHCR24;DHRS2;GOLPH3;APEX1;PPT1;BCL2;NF1;CALR;BCL2L2,Regulation of Apoptotic Process,11.297582245250702,72.0,0.05413533834586466
GO_Biological_Process_2023,Protein Transport (GO:0015031),2.782910916747123e-15,5.03985167022904e-12,0,0,4.626003964466633,155.0418131664851,C17ORF75;RAMP2;COPA;RAB5C;TMED10;TMEM167A;CLTC;GCC2;MIA3;ABCA12;HSP90B1;TIMM50;SNX4;GRPEL1;CHMP1B;MYO6;KIF13A;STX6;TIMM17A;TMED2;SNX9;ABCD1;ARL5A;SPTBN1;RAB8A;SNX6;ASPSCR1;AP3B1;SCAMP1;PDIA4;VMP1;RAB10;ARL4D;CENPF;GOLPH3;CTTN;PPT1;CHMP2A;TXNIP;RAB3GAP2;CHMP3;ARHGEF2;COPG1;RAMP1;RAB7A,Protein Transport,11.297582245250702,45.0,0.03383458646616541
GO_Biological_Process_2023,Endoplasmic Reticulum Organization (GO:0007029),1.4364376908245025e-14,1.7342591053887826e-11,0,0,15.02003410059676,478.748943611478,RTN3;CCDC47;ATL2;TOR1AIP2;MIA3;RTN4;GAK;RAB10;REEP1;SMPD4;VAPA;TMEM33;DOP1B;LPCAT3;REEP3;REEP6;TMCC1;DNM1L;GET3,Endoplasmic Reticulum Organization,10.760886016644072,19.0,0.014285714285714285
GO_Biological_Process_2023,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),3.966608640032624e-13,3.5917641235495413e-10,0,0,4.195851982097187,119.81546831685107,ANAPC13;GSK3B;GSK3A;WDR26;PSMD11;PSMD14;NEDD4L;FBXO45;AUP1;HSP90B1;ERLEC1;ZNRF1;ZNRF2;PSMD7;PSMB5;HECTD1;PSMD2;PSMD3;PSMD1;UBXN4;DCAF11;RFFL;ANKZF1;KLHDC3;WFS1;SIAH2;AMFR;SIAH1;RAD23A;ARMC8;ERLIN2;PSMA6;RNF126;CDC34;RNF103;GID8;DNAJC10;PLAA;TRIP12;RBCK1;CALR;UBE2K,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process,9.444692191827802,42.0,0.031578947368421054
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),9.562078956839269e-13,4.947692854524547e-10,0,0,3.7702069962091356,104.34349871196572,GSK3B;BECN1;ZFAND6;GLO1;HPN;TAF9;IFI6;PSEN2;FHL2;VTCN1;PEPD;TM7SF3;IFIT3;HSP90B1;HSPD1;PRDX3;SOCS2;ERBB2;PAK2;IER3;TFAP2A;OPN3;TSC22D1;GPX4;API5;WFS1;SIAH2;BNIP3;DHCR24;DHRS2;PRLR;RNF144B;GOLPH3;PPT1;TAX1BP1;PPIF;BCL2;BIRC6;NUPR1;ZNF830;IL6ST;PTMA;CARD14;NAIP;CD44;BCL2L2,Negative Regulation of Programmed Cell Death,9.305597268567052,46.0,0.03458646616541353
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),8.808455566456307e-13,4.947692854524547e-10,0,0,3.849166727846707,106.84476236225666,GSK3B;GSK3A;WDR26;PSMD11;PPP1R11;PSMD14;NEDD4L;NEDD8;FBXO45;ZNRF1;ZNRF2;PSMD7;PSMB5;HECTD1;PSMD2;CHMP1B;PSMD3;PSMD1;PSMF1;DCAF11;RFFL;UBQLN4;RNF20;KLHDC3;UBE2H;SIAH2;AMFR;SIAH1;RAD23A;ARMC8;FBXO11;PSMA6;RNF144B;RNF126;CDC34;UBE2R2;RNF149;GID8;CHMP2A;PLAA;CHMP3;TRIP12;RBCK1;UBE2K;CHMP5,Ubiquitin-Dependent Protein Catabolic Process,9.305597268567052,45.0,0.03383458646616541
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),7.501276878950976e-13,4.947692854524547e-10,0,0,5.030155838899009,140.4345715437301,GSK3B;GSK3A;WDR26;PSMD11;PSMD14;CCDC47;NEDD4L;FBXO45;ERLEC1;ZNRF1;ZNRF2;PSMD7;PSMB5;HECTD1;PSMD2;PSMD3;PSMD1;DCAF11;RFFL;KLHDC3;SIAH2;SIAH1;RAD23A;ARMC8;PSMA6;RNF126;CDC34;PSME4;GID8;PLAA;TRIP12;RBCK1;ATF6;UBE2K,Proteasomal Protein Catabolic Process,9.305597268567052,34.0,0.02556390977443609
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),2.5679804604953476e-12,1.1626531534892686e-09,0,0,2.7710141965926782,73.95255348755381,IFITM1;BTG1;CDC73;IFIT3;RERG;ING5;STK11;SOX4;TSC22D1;IGFBP3;ACTL6A;ADRA2A;NME1;SULT2B1;SFRP4;RNF126;AZGP1;CEACAM6;BIRC6;SGK3;NUPR2;STAMBP;ARHGEF2;CD47;NUPR1;IRF6;IL6ST;EAPP;GAS8;SHANK2;TSPYL5;TOB1;PRDX3;SLC9A3R1;RAB25;EPCAM;TMEM127;NACC1;ZNF703;LMNA;ERBB2;S100A13;SMYD2;SSR1;SH3BP4;STAT6;HES1;TRPM4;STAT5A;TFAP2A;JUN;JUND;STAT1;CNBP;MEAK7;EIF2AK2;DHRS2;SLURP1;SQLE;DLG3;GID8;DNAJA2;BCL2;INSM1;CALR;COPS8;FGFR4;COPS9;BNIPL,Regulation of Cell Population Proliferation,8.934549826107483,69.0,0.0518796992481203
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),3.3352909037318796e-12,1.3422692948129854e-09,0,0,2.0252057064199938,53.51902004876918,ATF2;ZNF692;ZNF296;ZMYND8;FOXI1;HNRNPU;ARID4B;NR3C1;BACH1;DCAF6;CHCHD2;SALL2;ZNF83;MYB;RUVBL1;TRIM27;SOX4;ZNF322;ZNF165;SP110;FOXP1;PRKAR1A;NUPR2;ATF6;HOMEZ;URI1;DHX9;SUPT4H1;GATA2;PCBP1;TPR;NACC1;SMYD2;MBIP;RREB1;HEXIM1;TFAP2A;STAT5A;JUN;JUND;WFS1;ESRRB;CBX1;EAF2;IRF2BP2;HOPX;NFATC4;NR2F6;FOSL2;NFKBIA;DLG1;TFCP2;TMEM98;SP6;CALR;SP140L;ZNF652;NFE2L1;MESP2;MESP1;CSRNP2;CHD8;MAGEF1;FHL2;HMGB3;LITAF;CDC73;PPP1R13L;LRRFIP1;TEAD2;TGIF1;BRD3;ACTR3;ACTR2;HSBP1;DNMT3A;ACTL6A;BAZ1A;PARP9;ETV3;ZFX;ADRA2A;ETV6;TOX4;TOX3;PLSCR1;IMPACT;ELF3;AEBP2;NFX1;THRAP3;TET3;IRF6;ARHGEF2;PTMA;IRF9;SP100;NFIX;CEBPD;TAF9;FOXK2;WIZ;BARX1;PURB;EPCAM;CREG1;PCGF1;HES1;STAT6;E2F5;MEF2D;SF3B1;MTA3;RNF20;IRX2;STAT1;IRX3;CNBP;PCGF3;ELP2;NR1H3;GRHL1;GRHL2;KLF2;KLF8;APEX1;ZNF219;KLF9;ZNF217;HDGF;PKN1;INSM1;TRIM33;FRK,Regulation of Transcription by RNA Polymerase II,8.872160344436372,134.0,0.10075187969924812
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),7.970937658309053e-12,2.887073619839539e-09,0,0,2.0300182290039923,51.87756037878826,ATF2;ZNF692;ZNF296;FOXI1;ARID4B;NR3C1;BACH1;SALL2;CDH1;ZNF83;MYB;RUVBL1;SOX4;ZNF322;ZNF165;SP110;THOC1;ILF2;FOXP1;PRKAR1A;NUPR2;ATF6;HOMEZ;INO80B;URI1;CRABP2;MEAF6;DHX9;SUPT4H1;CREBL2;ZNF703;NACC1;MBIP;RREB1;ZNF146;SNX6;HEXIM1;TFAP2A;STAT5A;JUN;JUND;ESRRB;IRF2BP2;HOPX;NFATC4;FOSL2;GON4L;TFCP2;TMEM98;SP6;CALR;ZNF138;SP140L;ZNF652;NFE2L1;MESP2;MESP1;CSRNP2;BTG1;CHD8;HMGB3;ING5;SUMO1;YWHAQ;PPP1R13L;LRRFIP1;TEAD2;ARHGEF11;BRD3;PRMT5;DNMT3A;ACTL6A;RHOH;GLRX2;BAZ1A;PARP9;ETV3;ZFX;UCHL5;ADRA2A;MLF2;ETV6;TOX4;TOX3;ELF3;AEBP2;THRAP3;TERF2IP;IRF6;IRF9;SP100;MYCBP;NFIX;CEBPD;TAF9;FOXK2;WIZ;PBXIP1;BARX1;ACVR1B;PURB;CREG1;ATXN1L;NSD2;PCGF1;HES1;STAT6;E2F5;MTA3;RNF20;IRX2;STAT1;IRX3;CNBP;PCGF3;ELP2;NR1H3;GRHL1;GRHL2;KLF2;KLF8;CENPF;ZNF219;KLF9;PDCD4;ZNF217;PKN1;TRIM33,Regulation of DNA-templated Transcription,8.539542141549685,128.0,0.0962406015037594
